date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-02-02,shot and Tasered,unarmed,59,Male,White,Hummelstown,False,other,Foot,False,-76.713,40.273,Pennsylvania
2015-02-03,shot,gun,23,Male,Black,St. Louis,False,attack,Foot,False,-90.21,38.75,Missouri
2015-02-03,shot,gun,38,Female,Black,Emeryville,False,attack,Car,False,-122.284,37.827,California
2015-02-03,shot,knife,29,Male,Black,Antioch,True,other,Not fleeing,False,-121.818,37.999,California
2015-02-03,shot,gun,45,Male,White,Douglas,True,attack,Not fleeing,False,-82.845,31.523,Georgia
2015-02-04,shot,unarmed,28,Male,Black,Tallahassee,False,attack,Not fleeing,False,-84.33,30.466,Florida
2015-02-04,shot,gun,37,Male,Hispanic,Orlando,False,attack,Not fleeing,False,-81.306,28.5,Florida
2015-02-04,shot,gun,28,Male,Hispanic,Tempe,False,attack,Car,False,-111.978,33.378,Arizona
2015-02-04,shot,unarmed,28,Male,Hispanic,Tempe,False,other,Not fleeing,False,-111.978,33.378,Arizona
2015-02-04,shot,gun,51,Male,Black,Lorena,False,attack,Car,False,-97.208,31.397,Texas
2015-02-04,shot,knife,36,Male,Black,Memphis,False,other,Not fleeing,False,-89.932,35.164,Tennessee
2015-02-05,shot,toy weapon,59,Male,White,Chino,False,other,Car,False,-117.65,33.953,California
2015-02-06,shot,gun,25,Male,Black,Oklahoma City,False,attack,Not fleeing,False,-97.515,35.404,Oklahoma
2015-02-07,shot,toy weapon,26,Male,White,Calimesa,False,attack,Not fleeing,False,-117.057,33.994,California
2015-02-07,shot,gun,74,Male,Black,Gastonia,False,attack,Not fleeing,False,-81.227,35.266,North Carolina
2015-02-08,shot,gun,33,Male,White,Anchorage,False,attack,Car,False,-149.859,61.208,Alaska
2015-02-08,shot,gun,27,Male,White,Austin,False,attack,Not fleeing,False,-97.891,30.244,Texas
2015-02-08,shot,gun,57,Male,White,New City,True,attack,Not fleeing,False,-74.001,41.152,New York
2015-02-08,shot,gun,46,Male,White,Orange County,False,attack,Not fleeing,False,-81.329,28.482,Florida
2015-02-08,shot,gun,41,Male,White,Nocona,False,attack,Not fleeing,False,-97.712,33.787,Texas
2015-02-09,shot,gun,61,Male,White,Smyrna,True,attack,Not fleeing,False,-68.104,46.159,Maine
2015-02-09,shot,gun,45,Male,Black,Dallas,False,attack,Not fleeing,False,-96.751,32.655,Texas
2015-02-10,shot,gun,49,Male,Black,Whitehaven,False,attack,Not fleeing,False,-90.054,35.025,Tennessee
2015-02-10,shot,gun,45,Male,White,New Castle,True,attack,Car,False,-107.454,39.573,Colorado
2015-02-10,shot and Tasered,unarmed,35,Male,Hispanic,Pasco,True,other,Foot,False,-119.101,46.228,Washington
2015-02-11,shot,knife,23,Male,Black,San Jose,True,other,Not fleeing,False,-121.876,37.316,California
2015-02-11,shot,toy weapon,46,Male,White,Dadeville,True,attack,Foot,True,-85.724,32.864,Alabama
2015-02-13,shot,Unknown,23,Male,White,San Bernardino,False,attack,Car,False,-117.333,34.165,California
2015-02-13,shot,gun,21,Male,Hispanic,Kansas City,False,attack,Car,False,-94.64,39.071,Kansas
2015-02-13,shot,unarmed,35,Male,Hispanic,Reading,False,other,Not fleeing,False,-75.908,40.329,Pennsylvania
2015-02-13,shot,gun,27,Male,White,McLemoresville,False,attack,Not fleeing,False,-88.572,35.95,Tennessee
2015-02-13,shot,knife,37,Male,Hispanic,San Manuel,True,other,Not fleeing,False,-110.628,32.614,Arizona
2015-02-14,shot,gun,16,Male,White,Essex,True,attack,Car,False,-76.44,39.299,Maryland
2015-02-14,shot,gun,51,Male,White,Laredo,False,attack,Not fleeing,False,-99.474,27.554,Texas
2015-02-15,shot,gun,34,Male,White,Iuka,False,attack,Foot,False,-88.205,34.804,Mississippi
